
CellTypeCount
==================== 
Count,Time, CellType
0.0,2,BCell
0.0,3,BCell
0.0,4,BCell
0.0,5,BCell
0.0,6,BCell
0.0,7,BCell
0.0,8,BCell
0.0,9,BCell
0.0,10,BCell
0.0,11,BCell
0.0,12,BCell
0.0,13,BCell
0.0,14,BCell
0.0,15,BCell
0.0,16,BCell
0.0,17,BCell
0.0,18,BCell
0.0,19,BCell
0.0,20,BCell
0.0,21,BCell
0.0,22,BCell
0.0,23,BCell
0.0,24,BCell
0.0,25,BCell
0.0,26,BCell
0.0,27,BCell
0.0,28,BCell
0.0,29,BCell
0.0,30,BCell
0.0,31,BCell
0.0,32,BCell
0.0,33,BCell
0.0,34,BCell
0.0,35,BCell
0.0,36,BCell
0.0,37,BCell
0.0,38,BCell
0.0,39,BCell
0.0,40,BCell
0.0,41,BCell
0.0,42,BCell
0.0,43,BCell
0.0,44,BCell
0.0,45,BCell
0.0,46,BCell
0.0,47,BCell
0.0,48,BCell
0.0,49,BCell
0.0,50,BCell
0.0,51,BCell
0.0,52,BCell
0.0,53,BCell
0.0,54,BCell
0.0,55,BCell
0.0,56,BCell
0.0,57,BCell
0.0,58,BCell
0.0,59,BCell
0.0,60,BCell
0.0,61,BCell
0.0,62,BCell
0.0,63,BCell
0.0,64,BCell
0.0,65,BCell
0.0,66,BCell
0.0,67,BCell
0.0,68,BCell
0.0,69,BCell
0.0,70,BCell
0.0,71,BCell
0.0,72,BCell
0.0,73,BCell
0.0,74,BCell
0.0,75,BCell
0.0,76,BCell
0.0,77,BCell
0.0,78,BCell
0.0,79,BCell
0.0,80,BCell
0.0,81,BCell
0.0,82,BCell
0.0,83,BCell
0.0,84,BCell
0.0,85,BCell
0.0,86,BCell
0.0,87,BCell
0.0,88,BCell
0.0,89,BCell
0.0,90,BCell
0.0,91,BCell
0.0,92,BCell
0.0,93,BCell
0.0,94,BCell
0.0,95,BCell
0.0,96,BCell
0.0,97,BCell
0.0,98,BCell
0.0,99,BCell
0.0,100,BCell
0.0,101,BCell
0.0,102,BCell
0.0,103,BCell
0.0,104,BCell
0.0,105,BCell
0.0,106,BCell
0.0,107,BCell
