
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
0,s,Surface,1,1000014184,14184,
0,s,Surface,1,1000014185,14185,
0,s,Surface,1,1000014186,14186,
0,s,Surface,1,1000014187,14187,
0,s,Surface,1,1000014188,14188,
0,s,Surface,1,1000014189,14189,
0,s,Surface,1,1000014190,14190,
0,s,Surface,1,1000014191,14191,
0,s,Surface,1,1000014192,14192,
0,s,Surface,1,1000014193,14193,
0,s,Surface,1,1000014194,14194,
0,s,Surface,1,1000014195,14195,
0,s,Surface,1,1000014196,14196,
0,s,Surface,1,1000014197,14197,
0,s,Surface,1,1000014198,14198,
0,s,Surface,1,1000014199,14199,
0,s,Surface,1,1000014200,14200,
0,s,Surface,1,1000014201,14201,
0,s,Surface,1,1000014202,14202,
38.641,s,Surface,2,1000014185,14203,
38.641,s,Surface,2,1000014184,14204,
38.641,s,Surface,2,1000014186,14205,
38.641,s,Surface,2,1000014187,14206,
0,s,Surface,2,1000014207,14207,
38.641,s,Surface,2,1000014188,14208,
38.641,s,Surface,2,1000014189,14209,
0,s,Surface,2,1000014210,14210,
38.641,s,Surface,2,1000014190,14211,
0,s,Surface,2,1000014212,14212,
38.641,s,Surface,2,1000014191,14213,
38.641,s,Surface,2,1000014192,14214,
38.641,s,Surface,2,1000014193,14215,
0,s,Surface,2,1000014216,14216,
38.641,s,Surface,2,1000014194,14217,
0,s,Surface,2,1000014218,14218,
38.641,s,Surface,2,1000014195,14219,
0,s,Surface,2,1000014220,14220,
38.641,s,Surface,2,1000014196,14221,
38.641,s,Surface,2,1000014197,14222,
0,s,Surface,2,1000014223,14223,
38.641,s,Surface,2,1000014199,14224,
38.641,s,Surface,2,1000014198,14225,
38.641,s,Surface,2,1000014200,14226,
38.641,s,Surface,2,1000014201,14227,
38.641,s,Surface,2,1000014202,14228,
77.282,s,Surface,3,1000014185,14229,
77.282,s,Surface,3,1000014184,14230,
77.282,s,Surface,3,1000014186,14231,
77.282,s,Surface,3,1000014187,14232,
0,s,Surface,3,1000014233,14233,
38.641,s,Surface,3,1000014207,14234,
77.282,s,Surface,3,1000014188,14235,
0,s,Surface,3,1000014236,14236,
77.282,s,Surface,3,1000014189,14237,
38.641,s,Surface,3,1000014210,14238,
0,s,Surface,3,1000014239,14239,
77.282,s,Surface,3,1000014190,14240,
38.641,s,Surface,3,1000014212,14241,
0,s,Surface,3,1000014242,14242,
77.282,s,Surface,3,1000014191,14243,
77.282,s,Surface,3,1000014192,14244,
77.282,s,Surface,3,1000014193,14245,
38.641,s,Surface,3,1000014216,14246,
77.282,s,Surface,3,1000014194,14247,
38.641,s,Surface,3,1000014218,14248,
77.282,s,Surface,3,1000014195,14249,
38.641,s,Surface,3,1000014220,14250,
77.282,s,Surface,3,1000014196,14251,
77.282,s,Surface,3,1000014197,14252,
38.641,s,Surface,3,1000014223,14253,
77.282,s,Surface,3,1000014198,14254,
77.282,s,Surface,3,1000014199,14255,
77.282,s,Surface,3,1000014200,14256,
77.282,s,Surface,3,1000014201,14257,
77.282,s,Surface,3,1000014202,14258,
115.879,s,Surface,4,1000014185,14259,
115.879,s,Surface,4,1000014184,14260,
0,s,Surface,4,1000014261,14261,
115.879,s,Surface,4,1000014186,14262,
115.879,s,Surface,4,1000014187,14263,
38.597,s,Surface,4,1000014233,14264,
77.238,s,Surface,4,1000014207,14265,
115.879,s,Surface,4,1000014188,14266,
38.597,s,Surface,4,1000014236,14267,
115.879,s,Surface,4,1000014189,14268,
77.238,s,Surface,4,1000014210,14269,
115.879,s,Surface,4,1000014190,14270,
38.597,s,Surface,4,1000014239,14271,
77.238,s,Surface,4,1000014212,14272,
38.597,s,Surface,4,1000014242,14273,
115.879,s,Surface,4,1000014191,14274,
0,s,Surface,4,1000014275,14275,
115.879,s,Surface,4,1000014192,14276,
115.879,s,Surface,4,1000014193,14277,
77.238,s,Surface,4,1000014216,14278,
115.879,s,Surface,4,1000014194,14279,
77.238,s,Surface,4,1000014218,14280,
115.879,s,Surface,4,1000014195,14281,
77.238,s,Surface,4,1000014220,14282,
115.879,s,Surface,4,1000014196,14283,
115.879,s,Surface,4,1000014197,14284,
77.238,s,Surface,4,1000014223,14285,
115.879,s,Surface,4,1000014199,14286,
115.879,s,Surface,4,1000014198,14287,
0,s,Surface,4,1000014288,14288,
0,s,Surface,4,1000014289,14289,
115.879,s,Surface,4,1000014200,14290,
115.879,s,Surface,4,1000014201,14291,
115.879,s,Surface,4,1000014202,14292,
154.327,s,Surface,5,1000014184,14293,
154.327,s,Surface,5,1000014185,14294,
38.448,s,Surface,5,1000014261,14295,
154.327,s,Surface,5,1000014186,14296,
154.327,s,Surface,5,1000014187,14297,
0,s,Surface,5,1000014298,14298,
0,s,Surface,5,1000014299,14299,
77.045,s,Surface,5,1000014233,14300,
115.686,s,Surface,5,1000014207,14301,
0,s,Surface,5,1000014302,14302,
77.045,s,Surface,5,1000014236,14303,
0,s,Surface,5,1000014304,14304,
154.327,s,Surface,5,1000014189,14305,
115.686,s,Surface,5,1000014210,14306,
77.045,s,Surface,5,1000014239,14307,
154.327,s,Surface,5,1000014190,14308,
115.686,s,Surface,5,1000014212,14309,
77.045,s,Surface,5,1000014242,14310,
154.327,s,Surface,5,1000014191,14311,
38.448,s,Surface,5,1000014275,14312,
154.327,s,Surface,5,1000014192,14313,
154.327,s,Surface,5,1000014193,14314,
115.686,s,Surface,5,1000014216,14315,
154.327,s,Surface,5,1000014194,14316,
115.686,s,Surface,5,1000014218,14317,
115.686,s,Surface,5,1000014220,14318,
154.327,s,Surface,5,1000014196,14319,
154.327,s,Surface,5,1000014197,14320,
115.686,s,Surface,5,1000014223,14321,
38.448,s,Surface,5,1000014288,14322,
154.327,s,Surface,5,1000014199,14323,
154.327,s,Surface,5,1000014198,14324,
38.448,s,Surface,5,1000014289,14325,
154.327,s,Surface,5,1000014200,14326,
154.327,s,Surface,5,1000014201,14327,
154.327,s,Surface,5,1000014202,14328,
0,s,Surface,6,1000014329,14329,
192.937,s,Surface,6,1000014185,14330,
0,s,Surface,6,1000014331,14331,
192.937,s,Surface,6,1000014184,14332,
77.058,s,Surface,6,1000014261,14333,
192.937,s,Surface,6,1000014187,14334,
38.61,s,Surface,6,1000014298,14335,
38.61,s,Surface,6,1000014299,14336,
115.655,s,Surface,6,1000014233,14337,
154.296,s,Surface,6,1000014207,14338,
38.61,s,Surface,6,1000014302,14339,
115.655,s,Surface,6,1000014236,14340,
38.61,s,Surface,6,1000014304,14341,
192.937,s,Surface,6,1000014189,14342,
154.296,s,Surface,6,1000014210,14343,
115.655,s,Surface,6,1000014239,14344,
154.296,s,Surface,6,1000014212,14345,
192.937,s,Surface,6,1000014190,14346,
115.655,s,Surface,6,1000014242,14347,
77.058,s,Surface,6,1000014275,14348,
192.937,s,Surface,6,1000014193,14349,
0,s,Surface,6,1000014350,14350,
154.296,s,Surface,6,1000014216,14351,
154.296,s,Surface,6,1000014218,14352,
0,s,Surface,6,1000014353,14353,
192.937,s,Surface,6,1000014196,14354,
192.937,s,Surface,6,1000014197,14355,
192.937,s,Surface,6,1000014198,14356,
192.937,s,Surface,6,1000014199,14357,
77.058,s,Surface,6,1000014289,14358,
77.058,s,Surface,6,1000014288,14359,
192.937,s,Surface,6,1000014200,14360,
192.937,s,Surface,6,1000014201,14361,
192.937,s,Surface,6,1000014202,14362,
231.456,s,Surface,7,1000014185,14363,
38.519,s,Surface,7,1000014329,14364,
38.519,s,Surface,7,1000014331,14365,
231.456,s,Surface,7,1000014184,14366,
231.456,s,Surface,7,1000014187,14367,
115.577,s,Surface,7,1000014261,14368,
77.129,s,Surface,7,1000014298,14369,
77.129,s,Surface,7,1000014299,14370,
192.815,s,Surface,7,1000014207,14371,
154.174,s,Surface,7,1000014233,14372,
77.129,s,Surface,7,1000014302,14373,
77.129,s,Surface,7,1000014304,14374,
231.456,s,Surface,7,1000014189,14375,
154.174,s,Surface,7,1000014239,14376,
231.456,s,Surface,7,1000014190,14377,
192.815,s,Surface,7,1000014212,14378,
115.577,s,Surface,7,1000014275,14379,
231.456,s,Surface,7,1000014193,14380,
38.519,s,Surface,7,1000014350,14381,
192.815,s,Surface,7,1000014216,14382,
192.815,s,Surface,7,1000014218,14383,
38.519,s,Surface,7,1000014353,14384,
231.456,s,Surface,7,1000014197,14385,
231.456,s,Surface,7,1000014199,14386,
115.577,s,Surface,7,1000014289,14387,
231.456,s,Surface,7,1000014198,14388,
115.577,s,Surface,7,1000014288,14389,
231.456,s,Surface,7,1000014200,14390,
231.456,s,Surface,7,1000014201,14391,
270.169,s,Surface,8,1000014184,14392,
77.232,s,Surface,8,1000014331,14393,
0,s,Surface,8,1000014394,14394,
77.232,s,Surface,8,1000014329,14395,
270.169,s,Surface,8,1000014185,14396,
0,s,Surface,8,1000014397,14397,
115.842,s,Surface,8,1000014298,14398,
115.842,s,Surface,8,1000014299,14399,
0,s,Surface,8,1000014400,14400,
192.887,s,Surface,8,1000014233,14401,
0,s,Surface,8,1000014402,14402,
115.842,s,Surface,8,1000014302,14403,
115.842,s,Surface,8,1000014304,14404,
270.169,s,Surface,8,1000014189,14405,
192.887,s,Surface,8,1000014239,14406,
0,s,Surface,8,1000014407,14407,
270.169,s,Surface,8,1000014193,14408,
77.232,s,Surface,8,1000014350,14409,
231.528,s,Surface,8,1000014216,14410,
231.528,s,Surface,8,1000014218,14411,
0,s,Surface,8,1000014412,14412,
77.232,s,Surface,8,1000014353,14413,
0,s,Surface,8,1000014414,14414,
270.169,s,Surface,8,1000014197,14415,
154.29,s,Surface,8,1000014289,14416,
270.169,s,Surface,8,1000014199,14417,
270.169,s,Surface,8,1000014198,14418,
270.169,s,Surface,8,1000014200,14419,
270.169,s,Surface,8,1000014201,14420,
154.491,s,Surface,9,1000014298,14421,
0,s,Surface,9,1000014422,14422,
38.649,s,Surface,9,1000014397,14423,
308.818,s,Surface,9,1000014184,14424,
38.649,s,Surface,9,1000014394,14425,
115.881,s,Surface,9,1000014331,14426,
115.881,s,Surface,9,1000014329,14427,
308.818,s,Surface,9,1000014185,14428,
154.491,s,Surface,9,1000014299,14429,
0,s,Surface,9,1000014430,14430,
38.649,s,Surface,9,1000014400,14431,
38.649,s,Surface,9,1000014402,14432,
0,s,Surface,9,1000014433,14433,
154.491,s,Surface,9,1000014304,14434,
308.818,s,Surface,9,1000014189,14435,
0,s,Surface,9,1000014436,14436,
38.649,s,Surface,9,1000014407,14437,
0,s,Surface,9,1000014438,14438,
0,s,Surface,9,1000014439,14439,
0,s,Surface,9,1000014440,14440,
308.818,s,Surface,9,1000014193,14441,
115.881,s,Surface,9,1000014350,14442,
38.649,s,Surface,9,1000014412,14443,
115.881,s,Surface,9,1000014353,14444,
38.649,s,Surface,9,1000014414,14445,
308.818,s,Surface,9,1000014197,14446,
0,s,Surface,9,1000014447,14447,
308.818,s,Surface,9,1000014199,14448,
192.939,s,Surface,9,1000014289,14449,
308.818,s,Surface,9,1000014198,14450,
308.818,s,Surface,9,1000014200,14451,
308.818,s,Surface,9,1000014201,14452,
0,s,Surface,9,1000014453,14453,
38.635,s,Surface,10,1000014430,14454,
193.126,s,Surface,10,1000014298,14455,
38.635,s,Surface,10,1000014422,14456,
77.284,s,Surface,10,1000014397,14457,
347.453,s,Surface,10,1000014184,14458,
0,s,Surface,10,1000014459,14459,
77.284,s,Surface,10,1000014394,14460,
154.516,s,Surface,10,1000014331,14461,
347.453,s,Surface,10,1000014185,14462,
193.126,s,Surface,10,1000014299,14463,
77.284,s,Surface,10,1000014400,14464,
0,s,Surface,10,1000014465,14465,
77.284,s,Surface,10,1000014402,14466,
38.635,s,Surface,10,1000014433,14467,
347.453,s,Surface,10,1000014189,14468,
38.635,s,Surface,10,1000014436,14469,
0,s,Surface,10,1000014470,14470,
77.284,s,Surface,10,1000014407,14471,
38.635,s,Surface,10,1000014438,14472,
38.635,s,Surface,10,1000014439,14473,
38.635,s,Surface,10,1000014440,14474,
347.453,s,Surface,10,1000014193,14475,
154.516,s,Surface,10,1000014350,14476,
77.284,s,Surface,10,1000014412,14477,
154.516,s,Surface,10,1000014353,14478,
77.284,s,Surface,10,1000014414,14479,
347.453,s,Surface,10,1000014197,14480,
38.635,s,Surface,10,1000014447,14481,
347.453,s,Surface,10,1000014199,14482,
347.453,s,Surface,10,1000014198,14483,
347.453,s,Surface,10,1000014200,14484,
347.453,s,Surface,10,1000014201,14485,
38.635,s,Surface,10,1000014453,14486,
38.629,s,Surface,11,1000014465,14487,
115.913,s,Surface,11,1000014400,14488,
231.755,s,Surface,11,1000014298,14489,
231.755,s,Surface,11,1000014299,14490,
77.264,s,Surface,11,1000014430,14491,
77.264,s,Surface,11,1000014422,14492,
0,s,Surface,11,1000014493,14493,
115.913,s,Surface,11,1000014397,14494,
386.082,s,Surface,11,1000014184,14495,
38.629,s,Surface,11,1000014459,14496,
115.913,s,Surface,11,1000014394,14497,
193.145,s,Surface,11,1000014331,14498,
386.082,s,Surface,11,1000014185,14499,
115.913,s,Surface,11,1000014402,14500,
0,s,Surface,11,1000014501,14501,
77.264,s,Surface,11,1000014433,14502,
386.082,s,Surface,11,1000014189,14503,
77.264,s,Surface,11,1000014436,14504,
38.629,s,Surface,11,1000014470,14505,
115.913,s,Surface,11,1000014407,14506,
77.264,s,Surface,11,1000014438,14507,
77.264,s,Surface,11,1000014439,14508,
